,station_id,name,city,country,latitude,longitude,state
356,227387,"Motilal Nehru NIT, Prayagraj - UPPCB",Prayagraj,IN,25.494,81.863,Uttar Pradesh
357,227533,"Rakhial, Ahmedabad - IITM",Ahmedabad,IN,23.016834,72.625775,Gujarat
358,227534,"Gyaspur, Ahmedabad - IITM",Ahmedabad,IN,22.977134,72.553024,Gujarat
359,227535,"Manoharpur, Agra - UPPCB",Agra,IN,27.23711,78.01936,Uttar Pradesh
360,227536,"Chandkheda, Ahmedabad - IITM",Ahmedabad,IN,23.107969,72.574648,Gujarat
361,227931,"Sector-3B Avas Vikas Colony, Agra - UPPCB",Agra,IN,27.19412,77.96237,Uttar Pradesh
362,228297,"SVPI Airport Hansol, Ahmedabad - IITM",Ahmedabad,IN,23.076793,72.627874,Gujarat
363,228298,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Ahmedabad,IN,23.04307,72.562968,Gujarat
364,228299,"GIFT City, Gandhinagar - IITM",Gandhinagar,IN,23.163798,72.677768,Gujarat
365,228300,"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,IN,23.023389,72.515201,Gujarat
366,228301,"IIPHG Lekawada, Gandhinagar - IITM",Gandhinagar,IN,23.243639,72.68994,Gujarat
367,228303,"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,IN,23.041137,72.456691,Gujarat
368,228352,"Shastripuram, Agra - UPPCB",Agra,IN,27.19862,77.92066,Uttar Pradesh
369,228397,"IESD Banaras Hindu University, Varanasi - UPPCB",Varanasi,IN,25.262326,82.995408,Uttar Pradesh
370,228403,"Bhelupur, Varanasi - UPPCB",Varanasi,IN,25.301778,82.996789,Uttar Pradesh
371,228840,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Gorakhpur,IN,26.730136,83.433859,Uttar Pradesh
372,229195,"Maldahiya, Varanasi - UPPCB",Varanasi,IN,25.32393,82.99687,Uttar Pradesh
373,229252,"NSI Kalyanpur, Kanpur - UPPCB",Kanpur,IN,26.509954,80.249612,Uttar Pradesh
374,229404,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Lucknow,IN,26.90723,80.98579,Uttar Pradesh
375,229473,blore_India_07_14_official,blore_India_07_14_official,IN,13.00334708,77.62801219,Karnataka
376,229728,"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,IN,26.80365,84.51954,Bihar
377,229729,"Nagla Bhau, Firozabad - UPPCB",Firozabad,IN,27.168897,78.37696,Uttar Pradesh
378,229730,"Town Hall - Lal Bagh, Darbhanga - BSPCB",Darbhanga,IN,26.15146,85.89342,Bihar
379,229731,"Gandak Colony, Motihari - BSPCB",Motihari,IN,26.63086,84.90051,Bihar
380,229985,"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,IN,25.204762,85.51496,Bihar
381,229987,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Muzaffarpur,IN,26.1403345,85.3650192,Bihar
382,233414,"Omex Eternity, Vrindavan - UPPCB",Vrindavan,IN,27.571409,77.655757,Uttar Pradesh
383,233415,"Sector 22, Chandigarh - CPCC",Chandigarh,IN,30.735567,76.775714,Chandigarh
384,233416,"Nagar Nigam, Prayagraj - UPPCB",Prayagraj,IN,25.44919916,81.82735986,Uttar Pradesh
385,234568,"FTI Kidwai Nagar, Kanpur - UPPCB",Kanpur,IN,26.428282,80.327067,Uttar Pradesh
386,234997,"Dharmapuri, Agra - UPPCB",Agra,IN,27.169338,78.03582,Uttar Pradesh
387,236406,"Mangala, Bilaspur - CECB",Bilaspur,IN,22.08815,82.13737,Chhattisgarh
388,270697,"Employment Office, Moradabad - UPPCB",Moradabad,IN,28.88528,78.7388,Uttar Pradesh
389,270703,"Dada Peer, Sasaram - BSPCB",Sasaram,IN,24.952822,84.002396,Bihar
390,270704,"Town Hall, Munger - BSPCB",Munger,IN,25.376776,86.471523,Bihar
391,270708,"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,IN,21.185571,81.343175,Chhattisgarh
392,270720,"Mirchaibari, Katihar - BSPCB",Katihar,IN,25.560083,87.553265,Bihar
393,270721,"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,IN,25.265194,87.012947,Bihar
394,270722,"Central Jail, Buxar - BSPCB",Buxar,IN,25.555605,83.950942,Bihar
395,270723,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,IN,25.251013,86.989001,Bihar
396,270724,"Kareemganj, Gaya - BSPCB",Gaya,IN,24.792403,84.992416,Bihar
397,270725,"Mariam Nagar, Purnia - BSPCB",Purnia,IN,25.765657,87.466829,Bihar
398,270726,"Chitragupta Nagar, Siwan - BSPCB",Siwan,IN,26.2271665,84.3570427,Bihar
399,270727,"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,IN,26.0881305,87.93840336,Bihar
400,270728,"Police Line, Saharsa - BSPCB",Saharsa,IN,25.892357,86.590325,Bihar
401,270729,"Darshan Nagar, Chhapra - BSPCB",Chhapra,IN,25.7808257,84.7446768,Bihar
402,270730,"Dangi Tola, Rajgir - BSPCB",Rajgir,IN,25.0328,85.41948,Bihar
403,270737,"Forest Rest House, Manguraha - BSPCB",Manguraha,IN,27.307773,84.529114,Bihar
404,270771,"Buddhi Vihar, Moradabad - UPPCB",Moradabad,IN,28.83526,78.7446,Uttar Pradesh
405,270774,"New DM Office, Arrah - BSPCB",Arrah,IN,25.5626095,84.663264,Bihar
406,270775,"Kharahiya Basti, Araria - BSPCB",Araria,IN,26.146529,87.454184,Bihar
407,270777,"Jigar Colony, Moradabad - UPPCB",Moradabad,IN,28.856664,78.772638,Uttar Pradesh
408,270877,"Eco Herbal Park, Moradabad - UPPCB",Moradabad,IN,28.840739,78.697531,Uttar Pradesh
409,278159,"Rohta, Agra - UPPCB",Agra,IN,27.106972,78.000111,Uttar Pradesh
410,278418,"Sector-53, Chandigarh - CPCC",Chandigarh,IN,30.719859,76.738637,Chandigarh
411,278671,"Shivaji Nagar, Jhansi - UPPCB",Jhansi,IN,25.4547,78.6039,Uttar Pradesh
412,301387,"Raikhad, Ahmedabad - IITM",Ahmedabad,IN,23.020509,72.579261,Gujarat
413,301388,"Sardar Patel Inter College, Baghpat - UPPCB",Baghpat,IN,28.964949,77.278761,Uttar Pradesh
414,301389,"HIMUDA Complex Phase-1, Baddi - HPPCB",Baddi,IN,30.943887,76.801991,Himachal Pradesh
415,301390,"Bardowali, Agartala - Tripura SPCB",Agartala,IN,23.8175497,91.2726974,Tripura
416,301391,"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,IN,25.859655,85.77944,Bihar
417,301670,"Collector Office, Yadgir - KSPCB",Yadgir,IN,16.7602,77.1428,Karnataka
418,304956,"Gurdeo Nagar, Aurangabad - BSPCB",Aurangabad,IN,24.75746,84.366208,Maharashtra
419,306252,"DRCC Anandpur, Begusarai - BSPCB",Begusarai,IN,25.444266,86.140169,Bihar
420,307463,"Zero Point GICI, Gangtok - SSPCB",Gangtok,IN,27.33853,88.614099,Sikkim
421,309803,"Ashwini Nagar, Haveri - KSPCB",Haveri,IN,14.7918,75.3896,Karnataka
422,313410,"DM College of Science, Imphal - Manipur PCB",Imphal,IN,24.8207389,93.9423085,Manipur
423,313411,"JN Stadium, Shillong - Meghalaya PCB",Shillong,IN,25.5803419,91.8942571,Meghalaya
424,313923,"Manipur University, Imphal - Manipur PCB",Imphal,IN,24.7524239,93.9286218,Manipur
425,317035,"Doon University, Dehradun - UKPCB",Dehradun,IN,30.269444,78.044167,Uttarakhand
426,330021,"Vibhab Nagar, Firozabad - UPPCB",Firozabad,IN,27.1594,78.3953,Uttar Pradesh
427,344103,"ECIL Kapra, Hyderabad - TSPCB",Hyderabad,IN,17.470431,78.566959,Telangana
428,344104,"Kompally Municipal Office, Hyderabad - TSPCB",Hyderabad,IN,17.544899,78.486949,Telangana
429,344140,"Somajiguda, Hyderabad - TSPCB",Hyderabad,IN,17.417094,78.457437,Telangana
430,344142,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Hyderabad,IN,17.429398,78.569354,Telangana
431,344144,"IITH Kandi, Hyderabad - TSPCB",Hyderabad,IN,17.585705,78.126199,Telangana
432,346257,"Ramachandrapuram, Hyderabad - TSPCB",Hyderabad,IN,17.528544,78.286195,Telangana
433,346258,"Kokapet, Hyderabad - TSPCB",Hyderabad,IN,17.393559,78.339194,Telangana
434,346438,"Rajendra Nagar, Bareilly - UPPCB",Bareilly,IN,28.38910936,79.42963708,Uttar Pradesh
435,346439,"Kalindi Kunj, Khurja - UPPCB",Khurja,IN,28.2348927,77.8683002,Uttar Pradesh
436,352465,"New Malakpet, Hyderabad - TSPCB",Hyderabad,IN,17.37206,78.50864,Telangana
437,352777,"Kashiram Nagar, Moradabad - UPPCB",Moradabad,IN,28.849399,78.742362,Uttar Pradesh
438,353715,"Transport Nagar, Moradabad - UPPCB",Moradabad,IN,28.802625,78.753728,Uttar Pradesh
439,358448,"Kumaran College, Tirupur - TNPCB",Tirupur,IN,11.0973603,77.3228673,Tamil Nadu
440,358450,"Bombay Castel, Ooty - TNPCB",Ooty,IN,11.4068288,76.7138973,Tamil Nadu
441,358451,"Vasanthapuram, Vellore - TNPCB",Vellore,IN,12.909494,79.131861,Tamil Nadu
442,358452,"Chalai Bazaar, Ramanathapuram - TNPCB",Ramanathapuram,IN,9.36399,78.831977,Tamil Nadu
443,358453,"Mendonsa Colony, Dindigul - TNPCB",Dindigul,IN,10.358535,77.984321,Tamil Nadu
444,358454,"SIPCOT Phase-1, Hosur - TNPCB",Hosur,IN,12.746998,77.813811,Tamil Nadu
445,358455,"Sona College of Technology, Salem - TNPCB",Salem,IN,11.679111,78.125052,Tamil Nadu
446,358456,"Gulzarpet, Anantapur - APPCB",Anantapur,IN,14.675886,77.593027,Andhra Pradesh
447,358457,"PSG College of Arts and Science, Coimbatore - TNPCB",Coimbatore,IN,11.0328,77.0349,Tamil Nadu
448,358467,"Civil Lines, Bareilly - UPPCB",Bareilly,IN,28.359581,79.414455,Uttar Pradesh
449,358627,"Crescent University, Chengalpattu - TNPCB",Chengalpattu,IN,12.8777316,80.0834807,Tamil Nadu
450,358665,"Ramteerth Nagar, Belgaum - KSPCB",Belgaum,IN,15.888653,74.541751,Karnataka
451,361378,"Paryavaran Parisar, Bhopal - MPPCB",Bhopal,IN,23.210494,77.425409,Madhya Pradesh
452,361411,"IITG, Guwahati - PCBA",Guwahati,IN,26.2028636,91.70046436,Assam
453,363601,"Girls College, Sivasagar - PCBA",Sivasagar,IN,26.987634,94.636574,Assam
454,1236037,Dhopagachi,Dhopagachi,IN,22.3743,88.415,West Bengal
455,1285345,SPARTAN - IIT Kanpur,Kanpur,IN,26.5128,80.2316,Uttar Pradesh
456,2498781,SiriJaya,SiriJaya,IN,12.90915364,77.52476183,Karanataka
457,2860223,GK1 (Oberoi Terrace),Terrace),IN,28.5500047,77.2431058,Haryana
458,3024966,NASA GSFC Rutgers Calib. N8,N8,IN,28.31733,76.91603,Haryana
459,3174188,Malav,Malav,IN,22.70763,75.85257,Madhya Pradesh
460,3174189,Bicholi Hapsi,Hapsi,IN,22.71771,75.93739,Madhya Pradesh
461,3174190,Musakhedi,Musakhedi,IN,22.6967,75.89488,Madhya Pradesh
462,3409317,"Chauhan Colony, Chandrapur - MPCB",Chandrapur,IN,19.9629,79.298714,Maharashtra
463,3409318,"Central School, Lucknow - CPCB",Lucknow,IN,26.8821003,80.9302753,Uttar Pradesh
464,3409319,"Alandur Bus Depot, Chennai - CPCB",Chennai,IN,12.9099161,80.1076538,Tamil Nadu
465,3409320,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,IN,22.627875,88.3804,West Bengal
466,3409321,Haldia - WBSPCB,WBSPCB,IN,22.06047,88.109737,West Bengal
467,3409322,"Pimpleshwar Mandir, Thane - MPCB",Thane,IN,19.192056,72.9585188,Maharashtra
468,3409323,"Worli, Mumbai - MPCB",Mumbai,IN,18.9936162,72.8128113,Maharashtra
469,3409329,"Deonar, Mumbai - IITM",Mumbai,IN,19.04946,72.923,Maharashtra
470,3409331,"Bhosari, Pune - IITM",Pune,IN,18.640051,73.848956,Maharashtra
471,3409334,"Ashwini Nagar, Haveri - KSPCB",Haveri,IN,14.7918,75.3896,Karnataka
472,3409335,"B.Katihalli, Hassan - KSPCB",Hassan,IN,13.008556,76.125258,Karnataka
473,3409336,"GIFT City, Gandhinagar - IITM",Gandhinagar,IN,23.163798,72.677768,Gujarat
474,3409338,"DRCC Anandpur, Begusarai - BSPCB",Begusarai,IN,25.444266,86.140169,Bihar
475,3409339,"Central Jail, Buxar - BSPCB",Buxar,IN,25.555605,83.950942,Bihar
476,3409340,"Zero Point GICI, Gangtok - SSPCB",Gangtok,IN,27.33853,88.614099,Sikkim
477,3409341,"Manipur University, Imphal - Manipur PCB",Imphal,IN,24.7524239,93.9286218,Manipur
478,3409342,"DM College of Science, Imphal - Manipur PCB",Imphal,IN,24.8207389,93.9423085,Manipur
479,3409343,"Keelapalur, Ariyalur - TNPCB",Ariyalur,IN,11.06825,79.07033,Tamil Nadu
480,3409344,"Municipal Corporation Office, Tirunelveli - TNPCB",Tirunelveli,IN,8.728442,77.6962,Tamil Nadu
481,3409345,"Parisutham Nagar, Thanjavur - TNPCB",Thanjavur,IN,10.7654824,79.1389968,Tamil Nadu
482,3409346,"Semmandalam, Cuddalore - TNPCB",Cuddalore,IN,11.7637683,79.7499835,Tamil Nadu
483,3409347,"SIPCOT Phase-1, Hosur - TNPCB",Hosur,IN,12.746998,77.813811,Tamil Nadu
484,3409348,"Uchapatti, Madurai - TNPCB",Madurai,IN,9.865935,78.022669,Tamil Nadu
485,3409349,"Vasanthapuram, Vellore - TNPCB",Vellore,IN,12.909494,79.131861,Tamil Nadu
486,3409350,"Velippalayam, Nagapattinam - TNPCB",Nagapattinam,IN,10.798548,79.838212,Tamil Nadu
487,3409351,"VOC Nagar_SIPCOT, Ranipet - TNPCB",Ranipet,IN,12.952707,79.30394,Tamil Nadu
488,3409353,"Kilambi, Kanchipuram - TNPCB",Kanchipuram,IN,12.864618,79.659968,Tamil Nadu
489,3409354,"Kudikadu, Cuddalore - TNPCB",Cuddalore,IN,11.6829898,79.7532099,Tamil Nadu
490,3409355,"Sona College of Technology, Salem - TNPCB",Salem,IN,11.679111,78.125052,Tamil Nadu
491,3409356,"Bharathidasan University, Palkalaiperur - TNPCB",Palkalaiperur,IN,10.681158,78.741746,Tamil Nadu
492,3409357,"Kamadenu Nagar, Karur - TNPCB",Karur,IN,10.96782,78.080882,Tamil Nadu
493,3409358,"St Joseph College, Tiruchirappalli - TNPCB",Tiruchirappalli,IN,10.830158,78.691849,Tamil Nadu
494,3409359,"Kalabhavan, Dharwad - KSPCB",Dharwad,IN,15.459706,75.008381,Karnataka
495,3409360,"IITG, Guwahati - PCBA",Guwahati,IN,26.2028636,91.70046436,Assam
496,3409361,"AIIMS, Raipur - CECB",Raipur,IN,21.258815,81.578979,Chhattisgarh
497,3409362,"Siltara Phase-II, Raipur - CECB",Raipur,IN,21.371751,81.664929,Chhattisgarh
498,3409363,"Krishak Nagar, Raipur - CECB",Raipur,IN,21.237755,81.705301,Chhattisgarh
499,3409364,"Bhatagaon New ISBT, Raipur - CECB",Raipur,IN,21.219665,81.630094,Chhattisgarh
500,3409365,"Rampur, Korba - CECB",Korba,IN,22.368195,82.746431,Chhattisgarh
501,3409366,"Urja Nagar, Korba - CECB",Korba,IN,22.348441,82.549611,Chhattisgarh
502,3409367,"Hathkhoj, Bhilai - CECB",Bhilai,IN,21.224231,81.40835,Chhattisgarh
503,3409368,"32Bungalows, Bhilai - CECB",Bhilai,IN,21.194815,81.31477,Chhattisgarh
504,3409369,"Maharaj Bada, Gwalior - MPPCB",Gwalior,IN,26.200388,78.147714,Madhya Pradesh
505,3409370,"Civil Lines, Sagar - MPPCB",Sagar,IN,23.838586,78.759431,Madhya Pradesh
506,3409371,"Science Center, Surat - SMC",Surat,IN,21.170046,72.795405,Gujarat
507,3409372,"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,IN,13.20488,79.097889,Andhra Pradesh
508,3409373,"Vaikuntapuram, Tirupathi - APPCB",Tirupathi,IN,13.615387,79.40923,Andhra Pradesh
509,3409374,"Deen Dayal Nagar, Gwalior - MPPCB",Gwalior,IN,26.259242,78.216432,Madhya Pradesh
510,3409375,"Bata Chowk, Nalbari - PCBA",Nalbari,IN,26.446912,91.439057,Assam
511,3409376,"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,IN,26.071318,91.87488,Meghalaya
512,3409377,"Meher Colony, Baripada - OSPCB",Baripada,IN,21.941841,86.728318,Odisha
513,3409378,"Jagamohanpur, Keonjhar - OSPCB",Keonjhar,IN,21.6439,85.599355,Odisha
514,3409379,"Divisional Forest Office, Rairangpur - OSPCB",Rairangpur,IN,22.265816,86.174829,Odisha
515,3409380,"Tata Township, Bileipada - OSPCB",Bileipada,IN,22.06156703,85.47409613,Odisha
516,3409381,"Dabuna, Nayagarh - OSPCB",Nayagarh,IN,21.847279,85.416905,Odisha
517,3409382,"Raghunathpali, Rourkela - OSPCB",Rourkela,IN,22.220833,84.809444,Odisha
518,3409383,"OMC Colony, Suakati - OSPCB",Suakati,IN,21.606865,85.510538,Odisha
519,3409384,"Barsua Iron Ore Mines, Tensa - OSPCB",Tensa,IN,21.869985,85.167016,Odisha
520,3409385,"RVCE-Mailasandra, Bengaluru - KSPCB",Bengaluru,IN,12.921418,77.502466,Karnataka
521,3409386,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Kalaburgi,IN,17.336318,76.847397,Karnataka
522,3409387,"Lingaraj Nagar, Hubballi - KSPCB",Hubballi,IN,15.3714823,75.1160168,Karnataka
523,3409388,"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,IN,13.003872,77.664217,Karnataka
524,3409389,"Thimmalapura, Tumakuru - KSPCB",Tumakuru,IN,13.377516,77.099072,Karnataka
525,3409390,"LGBI Airport, Guwahati - PCBA",Guwahati,IN,26.10887,91.589544,Assam
526,3409391,"Tarapur, Silchar - PCBA",Silchar,IN,24.82827,92.79525,Assam
527,3409392,"Kanuru, Vijayawada - APPCB",Vijayawada,IN,16.486692,80.699436,Andhra Pradesh
528,3409393,"Shivapura_Peenya, Bengaluru - KSPCB",Bengaluru,IN,13.0246342,77.5080115,Karnataka
529,3409394,"Fertilizer Township, Rourkela - OSPCB",Rourkela,IN,22.18972222,84.86277778,Odisha
530,3409395,"Sector-2, Rourkela - OSPCB",Rourkela,IN,22.245,84.88111111,Odisha
531,3409396,"Nawapara SECL Colony, Chhal - CECB",Chhal,IN,22.118125,83.140608,Chhattisgarh
532,3409397,"OP Jindal School, Kunjemura - CECB",Kunjemura,IN,22.12665,83.483212,Chhattisgarh
533,3409398,"Govt. Higher Secondary School, Milupara - CECB",Milupara,IN,22.1910172,83.5197009,Chhattisgarh
534,3409399,"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,IN,22.06631475,83.33820077,Jharkhand
535,3409400,"Yerramukkapalli, Kadapa - APPCB",Kadapa,IN,14.465052,78.824187,Andhra Pradesh
536,3409401,"Samrat Ashok Udhyan, Jodhpur - RSPCB",Jodhpur,IN,26.253384,72.976571,Rajasthan
537,3409402,"Krishna Nagar, Bharatpur - RSPCB",Bharatpur,IN,27.215415,77.50873,Rajasthan
538,3409403,"MM Ground, Bikaner - RSPCB",Bikaner,IN,28.018792,73.292658,Rajasthan
539,3409404,"Subash Chowk, Churu - RSPCB",Churu,IN,28.296139,74.961696,Rajasthan
540,3409405,"Raja Ganj, Dholpur - RSPCB",Dholpur,IN,26.699557,77.898881,Rajasthan
541,3409406,"Nayapura, Kota - RSPCB",Kota,IN,25.196024,75.855668,Rajasthan
542,3409407,"Shastri Nagar, Tonk - RSPCB",Tonk,IN,26.159933,75.780517,Rajasthan
543,3409408,"Shivaji Nagar, Rishikesh - UKPCB",Rishikesh,IN,30.075911,78.2859547,Uttarakhand
544,3409409,"Govt. Girls Inter College, Kashipur - UKPCB",Kashipur,IN,29.2124114,78.9611753,Uttarakhand
545,3409410,"Vedhaynath Colony, Sirohi - RSPCB",Sirohi,IN,24.885261,72.857549,Rajasthan
546,3409411,"Christianpatty, Nagaon - PCBA",Nagaon,IN,26.349082,92.68449,Assam
547,3409412,"Dhanmandi, Kota - RSPCB",Kota,IN,25.16409,75.858137,Rajasthan
548,3409413,"Idgah Hills, Bhopal - MPPCB",Bhopal,IN,23.264759,77.381568,Madhya Pradesh
549,3409414,"Vijay Nagar Scheme-78, Indore - Glenmark",Indore,IN,22.76726,75.8871,Madhya Pradesh
550,3409415,"Sardar Patel Nagar, Dhanbad - JSPCB",Dhanbad,IN,23.80569,86.44268,Jharkhand
551,3409416,"Rati Talai, Banswara - RSPCB",Banswara,IN,23.55519,74.44001,Rajasthan
552,3409417,"Shastri Nagar, Chittorgarh - RSPCB",Chittorgarh,IN,24.892047,74.623527,Rajasthan
553,3409418,"Khatikan Mohalla, Dausa - RSPCB",Dausa,IN,26.895552,76.334753,Rajasthan
